customer_id,customer_name,segment
752,Toby Braunhardt,Consumer
399,Joseph Holt,Consumer
49,Annie Thurman,Consumer
276,Eugene Moren,Home Office
484,Magdelene Morse,Consumer
430,Kean Nguyen,Corporate
443,Ken Lonsdale,Consumer
466,Lindsay Williams,Corporate
449,Larry Blacks,Consumer
238,Dorothy Dickinson,Consumer
226,Dennis Pardue,Home Office
719,Stewart Visinsky,Consumer
352,Jas O'Carroll,Consumer
149,Chris McAfee,Consumer
557,Nat Gilpin,Corporate
341,Jack Garza,Consumer
661,Russell Applegate,Consumer
519,Maya Herman,Corporate
87,Beth Thompson,Home Office
61,Arthur Prichep,Consumer
62,Arthur Wiediger,Home Office
309,Grant Thornton,Corporate
200,Darren Powers,Consumer
100,Bradley Drucker,Consumer
356,Jasper Cacioppo,Consumer
362,Jennifer Halladay,Consumer
526,Michael Granlund,Home Office
613,Phillina Ober,Home Office
697,Shaun Weien,Consumer
693,Shahid Hopkins,Consumer
114,Brosina Hoffman,Consumer
644,Robert Dilbeck,Home Office
308,Grace Kelly,Corporate
444,Khloe Miller,Consumer
539,Mick Brown,Consumer
488,Maria Etezadi,Home Office
491,Maribeth Schnelling,Consumer
207,Dave Poirier,Corporate
324,Harry Marie,Corporate
482,Lycoris Saunders,Consumer
28,Alyssa Crouse,Corporate
343,Jack O'Briant,Corporate
4,Adam Bellavance,Home Office
402,Joy Smith,Consumer
330,Henia Zydlo,Consumer
573,Nicole Fjeld,Home Office
159,Christopher Martinez,Consumer
788,Vivek Sundaresam,Consumer
381,Joe Elijah,Consumer
247,Ed Braxton,Corporate
18,Alejandro Grove,Consumer
670,Sample Company A,Home Office
191,Dan Lawera,Consumer
257,Elpida Rittenbach,Corporate
675,Sanjit Jacobs,Home Office
749,Tiffany House,Corporate
380,Jocasta Rupert,Consumer
310,Greg Guthrie,Corporate
596,Paul MacIntyre,Consumer
591,Patrick O'Donnell,Consumer
628,Ricardo Sperren,Corporate
522,Melanie Seite,Consumer
107,Brian Dahlen,Consumer
655,Roy Collins,Consumer
611,Philip Fox,Consumer
209,David Flashing,Consumer
712,Steve Carroll,Home Office
231,Dianna Vittorini,Consumer
164,Chuck Sachs,Consumer
736,Tanja Norvell,Home Office
52,Anthony Jacobs,Corporate
264,Eric Murdock,Consumer
747,Thomas Seio,Corporate
657,Roy Phan,Corporate
51,Anthony Garverick,Home Office
607,Peter Bühler,Consumer
691,Seth Vernon,Consumer
696,Shaun Chance,Corporate
648,Roger Demir,Consumer
80,Ben Wallace,Consumer
312,Greg Matthias,Consumer
345,James Lanier,Home Office
720,Stuart Calhoun,Consumer
123,Cari Sayre,Corporate
150,Chris Selesnick,Corporate
695,Sharelle Roach,Home Office
558,Natalie DeCherney,Consumer
73,Bart Pistole,Corporate
737,Ted Butterfield,Consumer
714,Steve Nguyen,Home Office
115,Bruce Degenhardt,Consumer
553,Muhammed Yedwab,Corporate
528,Michael Moore,Consumer
234,Don Jones,Corporate
180,Craig Leslie,Home Office
653,Ross Baird,Home Office
540,Mick Crebagga,Consumer
106,Brendan Sweed,Corporate
266,Erica Hackney,Consumer
13,Alan Haines,Corporate
251,Edward Hooks,Corporate
221,Delfina Latchford,Consumer
789,Vivian Mathis,Consumer
735,Tamara Willingham,Home Office
699,Shirley Daniels,Home Office
145,Charles Sheldon,Corporate
524,Michael Dominguez,Corporate
786,Vivek Gonzalez,Consumer
629,Richard Bierner,Consumer
86,Beth Paige,Consumer
588,Patrick Gardner,Consumer
504,Matt Abelman,Home Office
20,Aleksandra Gannaway,Corporate
602,Pauline Webber,Corporate
213,David Wiener,Corporate
40,Ann Blume,Corporate
527,Michael Kennedy,Corporate
533,Michelle Arnett,Home Office
730,Suzanne McNair,Corporate
756,Toby Swindell,Consumer
338,Irene Maddox,Consumer
17,Alejandro Ballentine,Home Office
199,Darren Koutras,Consumer
622,Randy Bradley,Consumer
660,Ruben Dartt,Consumer
755,Toby Ritter,Consumer
336,Hunter Lopez,Consumer
665,Sally Hughsby,Corporate
791,Xylona Preis,Consumer
664,Ryan Crowe,Consumer
203,Darrin Van Huff,Corporate
552,Muhammed MacIntyre,Corporate
499,Mark Van Huff,Consumer
598,Paul Stevenson,Home Office
486,Marc Harrigan,Home Office
725,Sung Shariari,Consumer
355,Jason Klamczynski,Corporate
169,Claudia Bergmann,Corporate
126,Carl Ludwig,Consumer
531,Michael Paige,Corporate
760,Tom Boeckenhauer,Consumer
105,Brendan Murry,Corporate
451,Larry Tron,Consumer
175,Corey Roper,Home Office
156,Christine Phan,Corporate
700,Shirley Jackson,Consumer
372,Jill Matthias,Consumer
459,Lena Creighton,Consumer
337,Ionia McGrath,Consumer
162,Chuck Clark,Home Office
311,Greg Hansen,Consumer
396,Joni Sundaresam,Home Office
548,Mitch Webber,Consumer
707,Speros Goranitis,Consumer
350,Janet Martin,Consumer
287,Frank Olsen,Consumer
295,Gary Hwang,Consumer
10,Aimee Bixby,Consumer
281,Filia McAdams,Corporate
99,Brad Thomas,Home Office
481,Luke Weiss,Consumer
722,Sue Ann Reed,Consumer
326,Heather Kirkland,Corporate
357,Jay Fein,Consumer
27,Allen Rosenblatt,Corporate
556,Nat Carroll,Consumer
335,Hunter Glantz,Consumer
102,Bradley Talbott,Home Office
563,Nathan Mautz,Home Office
